SYMBOL,SERIES,NAME,OPEN,HIGH,LOW,CLOSE,VOLUME,VALUE,session,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Segment,Industry,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,Own_Narrow,Setup,Nifty500,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,JCurve_Stage,JCurve_Score,JCurve_Explanation
BHAGCHEM,EQ,BHAGIRADHA CHEM & INDS L,247.45,248.08,238.48,243.51,52483,12766440.28,20260601,243.35666666666663,243.28,243.4333333333333,243.4333333333333,243.28,0.1533333333333075,0.0629679821499353,Narrow,Bullish,Above CPR,Cash Only,Chemicals & Fertilizers,True,False,0.2857142857142857,7,11765141.6,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
UNIMECH,EQ,UNIMECH AEROSPACE N MFG L,939.0,966.0,924.0,945.9,56997,53834899.35,20260601,945.3,945.0,945.6,945.6,945.0,0.6000000000001364,0.0634316523945592,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.1428571428571428,7,63515350.5,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
JPOLYINVST,EQ,JIND POL INV & FIN CO LTD,1030.0,1030.0,1010.0,1021.0,4148,4218588.4,20260601,1020.3333333333334,1020.0,1020.6666666666669,1020.6666666666669,1020.0,0.6666666666667425,0.0652954619654008,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.1428571428571428,7,4661140.5,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
KEC,EQ,KEC INTL. LIMITED,499.65,502.95,492.05,498.0,640077,318139158.65,20260601,497.6666666666667,497.5,497.83333333333337,497.83333333333337,497.5,0.3333333333333712,0.0669344042838094,Narrow,Bullish,Above CPR,Cash Only,Construction,True,False,0.1428571428571428,7,452957392.35,Lower,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
BUTTERFLY,EQ,BTRFLY GANDHI APPL LTD,668.0,670.95,660.55,666.45,11999,7996566.75,20260601,665.9833333333333,665.75,666.2166666666667,666.2166666666667,665.75,0.466666666666697,0.0700227573961582,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.1428571428571428,7,12648281.75,Inside,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
SUNPHARMA,EQ,SUN PHARMACEUTICAL IND L,1812.0,1812.1,1777.1,1796.5,2051152,3688025197.7,20260601,1795.2333333333331,1794.6,1795.8666666666668,1795.8666666666668,1794.6,1.2666666666668789,0.0705074682252646,Narrow,Bullish,Above CPR,Cash Only,Healthcare,True,False,0.1428571428571428,7,4279598286.4,Lower,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
GABRIEL,EQ,GABRIEL INDIA LTD,1101.4,1106.7,1064.6,1086.8,204334,220766564.1,20260601,1086.0333333333335,1085.65,1086.416666666667,1086.416666666667,1085.65,0.7666666666668789,0.0705434915961427,Narrow,Bullish,Above CPR,Cash Only,Automobile and Auto Components,True,False,0.1428571428571428,7,252342310.9,Lower,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
EPL,EQ,EPL LIMITED,216.9,216.9,210.3,213.83,825432,176141588.51,20260601,213.6766666666667,213.6,213.7533333333334,213.7533333333334,213.6,0.1533333333333644,0.0717080546852005,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.1428571428571428,7,72643920.03,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
NIVABUPA,EQ,NIVA BUPA HEALTH INS CO L,84.8,85.23,83.57,84.5,890669,75184656.73,20260601,84.43333333333334,84.4,84.46666666666667,84.46666666666667,84.4,0.0666666666666628,0.0788954635108436,Narrow,Bullish,Above CPR,Cash Only,Financial Services,True,False,0.1428571428571428,7,123478674.62,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
PNGJL,EQ,P N GADGIL JEWELLERS LTD,559.5,559.5,542.55,551.7,198602,109539687.35,20260601,551.25,551.025,551.475,551.475,551.025,0.4500000000000455,0.0815660685155057,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.2857142857142857,7,138809735.95,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
