SYMBOL,period_end,OPEN,HIGH,LOW,CLOSE,VALUE,NAME,session,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Industry,Nifty500,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,History_OK,Regime,Own_Narrow,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Applies,Timeframe,Daily_Signal,Weekly_Signal,Monthly_Signal,Confluence_Score
AEROFLEX,20260831,435.7,547.0,413.6,525.4,14675233349.0,AEROFLEX INDUSTRIES LTD,20260831,495.3333333333333,480.3,510.3666666666666,510.3666666666666,480.3,30.066666666666606,5.722624032483177,Wide,Bullish,Above CPR,Unclassified,False,False,False,0.9230769230769231,13,11092433402.9,Higher,True,Risk Off,False,,,,,1.3229949476337008,False,False,No setup,Sep 2026,Monthly,0,0,0,0
AERONEU,20260831,86.0,91.01,79.5,80.01,76302043.57,AEROFLEX NEU LIMITED,20260831,83.50666666666666,85.255,81.75833333333333,85.255,81.75833333333333,3.4966666666666697,4.370287047452405,Wide,Bearish,Below CPR,Unclassified,False,False,False,0.5833333333333334,12,81600370.85,Lower,True,Risk Off,False,,,,,0.935069813717642,False,False,No setup,Sep 2026,Monthly,0,0,0,0
AEROPLANE,20260831,204.9,206.9,170.05,174.33,1897128025.08,AMIR CHAND JAG KUM (E) L,20260831,183.76000000000002,188.47500000000002,179.04500000000002,188.47500000000002,179.04500000000002,9.430000000000007,5.409281248207426,Wide,Bearish,Below CPR,Unclassified,False,False,False,1.0,2,1475379874.6,Lower,False,Risk Off,False,,,,,1.2858573291806241,False,False,No setup,Sep 2026,Monthly,0,0,0,0
AETHER,20260831,1561.0,1717.0,1492.7,1691.3,9612035816.2,AETHER INDUSTRIES LIMITED,20260831,1633.6666666666667,1604.85,1662.4833333333336,1662.4833333333336,1604.85,57.63333333333367,3.4076351524468556,Wide,Bullish,Above CPR,Unclassified,False,False,False,0.6153846153846154,13,6982862522.4,Higher,True,Risk Off,False,,,,,1.3765179803219667,False,False,No setup,Sep 2026,Monthly,0,0,0,0
AFCONS,20260831,271.15,292.0,259.1,285.65,6725882260.65,AFCONS INFRASTRUCTURE LTD,20260831,278.9166666666667,275.55,282.28333333333336,282.28333333333336,275.55,6.7333333333333485,2.357197035999772,Wide,Bullish,Above CPR,Construction,True,False,False,0.38461538461538464,13,5760165745.6,Overlapping,True,Risk Off,False,,,,,1.1676542928973317,False,False,No setup,Sep 2026,Monthly,0,0,0,0
AFFLE,20260831,1608.7,1748.2,1578.0,1597.9,6903527225.6,AFFLE 3I LIMITED,20260831,1641.3666666666668,1663.1,1619.6333333333337,1663.1,1619.6333333333337,43.46666666666624,2.7202369776998707,Wide,Bearish,Below CPR,Information Technology,True,False,False,0.46153846153846156,13,7692908410.099999,Higher,True,Risk Off,False,,,,,0.8973884592901662,False,False,No setup,Sep 2026,Monthly,0,0,0,0
AFFORDABLE,20260831,164.99,165.31,157.05,161.13,1631343.08,AFFORD ROBO & AUTO LTD,20260831,161.16333333333333,161.18,161.14666666666665,161.18,161.14666666666665,0.03333333333335986,0.020687229773077555,Narrow,Bearish,Below CPR,Unclassified,False,False,True,0.1,10,185051909.35500002,Lower,True,Risk Off,True,,,,,0.008815597124536894,False,False,No setup,Sep 2026,Monthly,0,0,0,0
AFIL,20260831,9.34,10.73,8.8,9.47,157335414.93,AKME FINTRADE (INDIA) LTD,20260831,9.666666666666666,9.765,9.568333333333332,9.765,9.568333333333332,0.196666666666669,2.0767335445265998,Wide,Bearish,Below CPR,Unclassified,False,False,False,0.3,10,152492840.625,Higher,True,Risk Off,False,,,,,1.0317560764502285,False,False,No setup,Sep 2026,Monthly,0,0,0,0
AFSL,20260831,201.07,223.0,201.0,212.1,98946149.22,ABANS FINANCIAL SRVCS LTD,20260831,212.03333333333333,212.0,212.06666666666666,212.06666666666666,212.0,0.06666666666666288,0.03143171460002965,Narrow,Bullish,Above CPR,Unclassified,False,True,False,0.07692307692307693,13,98946149.22,Higher,True,Risk Off,True,,,,,1.0,False,False,No setup,Sep 2026,Monthly,0,0,0,0
AGARIND,20260831,510.0,534.8,453.55,458.2,383422712.09999996,AGARWAL INDS CORP LTD.,20260831,482.18333333333334,494.17499999999995,470.1916666666667,494.17499999999995,470.1916666666667,23.983333333333235,5.234249963625761,Wide,Bearish,Below CPR,Unclassified,False,False,False,0.8461538461538461,13,446578838.6,Lower,True,Risk Off,False,,,,,0.8585778791086676,False,False,No setup,Sep 2026,Monthly,0,0,0,0
