SYMBOL,period_end,OPEN,HIGH,LOW,CLOSE,VALUE,NAME,Industry,Segment,session,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,NR4,NR7,Overlay,History_OK,Regime,Own_Narrow,Virgin_CPR,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Risk_Multiplier,Triple_Confluence,Applies,Timeframe
ACSTECH,20260710,46.15,46.15,40.2,42.28,33639313.15,A C S TECHNOLOGIES LTD.,Information Technology,Cash Only,20260710,42.876666666666665,43.175,42.57833333333333,43.175,42.57833333333333,0.596666666666664,1.4112267423525637,Wide,Bearish,Below CPR,False,False,0.4166666666666667,12,19406954.86,False,False,Lower,True,Neutral,False,None,,,,,1.7333638065668175,False,False,No setup,0.0,None,Week 13 Jul – 17 Jul 2026,Weekly
ACUTAAS,20260710,3694.8,3740.0,3348.0,3400.8,8109552954.6,ACUTAAS CHEMICALS LIMITED,Healthcare,Cash Only,20260710,3496.2666666666664,3544.0,3448.533333333333,3544.0,3448.533333333333,95.46666666666715,2.807182623696399,Wide,Bearish,Below CPR,False,False,0.8260869565217391,46,3637942803.0,False,False,Overlapping,True,Neutral,False,None,293.4642857142858,,,0.325309318080404,2.229159003795366,False,False,No setup,0.0,None,Week 13 Jul – 17 Jul 2026,Weekly
ADANIENSOL,20260710,1580.0,1712.0,1571.0,1654.0,28647632269.5,ADANI ENERGY SOLUTION LTD,Power,Cash Only,20260710,1645.6666666666667,1641.5,1649.8333333333335,1649.8333333333335,1641.5,8.333333333333485,0.5038291011688927,Moderate,Bullish,Above CPR,False,False,0.30434782608695654,46,7593065895.450001,False,False,Higher,True,Neutral,False,None,144.07500000000005,,,0.057840245242640864,3.772867595771366,False,False,No setup,0.0,None,Week 13 Jul – 17 Jul 2026,Weekly
ADANIENT,20260710,3230.0,3245.0,3026.8,3157.3,34892195347.2,ADANI ENTERPRISES LIMITED,Metals & Mining,Cash Only,20260710,3143.0333333333333,3135.9,3150.1666666666665,3150.1666666666665,3135.9,14.266666666666424,0.45186287861991015,Moderate,Bullish,Above CPR,False,False,0.15217391304347827,46,18217040347.95,False,False,Inside,True,Neutral,True,None,213.03571428571436,,,0.06696842693489685,1.9153602715232765,False,False,No setup,0.0,None,Week 13 Jul – 17 Jul 2026,Weekly
ADANIGREEN,20260710,1564.9,1589.1,1481.2,1536.6,15800173640.6,ADANI GREEN ENERGY LTD,Power,Cash Only,20260710,1535.6333333333332,1535.15,1536.1166666666663,1536.1166666666663,1535.15,0.9666666666662422,0.06290945377237032,Narrow,Bullish,Above CPR,True,False,0.043478260869565216,46,14940974389.5,True,True,Inside,True,Neutral,True,None,123.87857142857138,,,0.0078033404447485424,1.0575062394661365,False,False,No setup,0.0,None,Week 13 Jul – 17 Jul 2026,Weekly
ADANIPORTS,20260710,1872.8,1883.5,1783.2,1828.1,12629903330.7,ADANI PORT & SEZ LTD,Services,Cash Only,20260710,1831.5999999999997,1833.35,1829.8499999999995,1833.35,1829.8499999999995,3.5000000000004547,0.1914556096493876,Narrow,Bearish,Below CPR,False,True,0.15217391304347827,46,16629962913.55,True,False,Overlapping,True,Neutral,True,None,98.30714285714285,,,0.035602702899081864,0.7594667165739274,False,False,No setup,0.0,None,Week 13 Jul – 17 Jul 2026,Weekly
ADANIPOWER,20260710,222.8,226.12,214.65,218.45,34325139726.23,ADANI POWER LTD,Power,Cash Only,20260710,219.74,220.385,219.09500000000003,220.385,219.09500000000003,1.2899999999999636,0.590524147402135,Moderate,Bearish,Below CPR,False,False,0.2826086956521739,46,27030115014.309998,False,False,Lower,True,Neutral,False,None,17.435,,,0.07398910238026749,1.2698850784785025,False,False,No setup,0.0,None,Week 13 Jul – 17 Jul 2026,Weekly
ADFFOODS,20260710,321.4,323.5,302.5,319.9,424708574.5,ADF FOODS LIMITED,FMCG & Food Products,Cash Only,20260710,315.3,313.0,317.6,317.6,313.0,4.600000000000023,1.4379493591747494,Wide,Bullish,Above CPR,False,False,0.45652173913043476,46,152425839.72,False,False,Lower,True,Neutral,False,None,33.039285714285704,,,0.13922819154686053,2.786329242339568,False,False,No setup,0.0,None,Week 13 Jul – 17 Jul 2026,Weekly
ADL,20260710,68.99,72.1,67.4,69.01,367251.9,ARCHIDPLY DECOR LIMITED,Diversified,Cash Only,20260710,69.50333333333333,69.75,69.25666666666666,69.75,69.25666666666666,0.4933333333333394,0.714872240738066,Moderate,Bearish,Below CPR,False,False,0.2608695652173913,46,396642.235,False,False,Overlapping,True,Neutral,False,None,8.153571428571428,,,0.06050518323842971,0.9259021546205235,False,False,No setup,0.0,None,Week 13 Jul – 17 Jul 2026,Weekly
ADOR,20260710,1319.9,1339.4,1272.1,1324.8,164630572.1,ADOR WELDING LTD,Diversified,Cash Only,20260710,1312.1000000000001,1305.75,1318.4500000000003,1318.4500000000003,1305.75,12.700000000000273,0.9586352657005036,Wide,Bullish,Above CPR,False,False,0.5217391304347826,46,92122015.4,False,False,Overlapping,True,Neutral,False,None,96.78928571428573,,,0.13121287037378976,1.7870926008854988,False,False,No setup,0.0,None,Week 13 Jul – 17 Jul 2026,Weekly
ADROITINFO,20260710,8.98,9.28,8.51,9.01,771460.8099999999,ADROIT INFOTECH LIMITED,Information Technology,Cash Only,20260710,8.933333333333332,8.895,8.971666666666664,8.971666666666664,8.895,0.07666666666666444,0.8509064002959428,Wide,Bullish,Above CPR,False,False,0.45652173913043476,46,2211294.035,False,False,Overlapping,True,Neutral,False,None,1.1857142857142857,,,0.06465863453815074,0.3488730118154549,False,False,No setup,0.0,None,Week 13 Jul – 17 Jul 2026,Weekly
