SYMBOL,SERIES,NAME,OPEN,HIGH,LOW,CLOSE,VOLUME,VALUE,session,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Segment,Industry,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,Own_Narrow,Setup,Nifty500,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,JCurve_Stage,JCurve_Score,JCurve_Explanation
VASWANI,EQ,VASWANI IND LTD,55.2,59.13,55.2,58.31,40977,2351008.32,20260422,57.546666666666674,57.165000000000006,57.92833333333334,57.92833333333334,57.165000000000006,0.7633333333333354,1.3090950665980714,Wide,Bullish,Above CPR,Cash Only,Diversified,False,False,0.8,60,3392172.19,Overlapping,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
GUJRAFFIA,EQ,GUJARAT RAFFIA INDUST LTD,40.9,43.45,39.75,42.43,33515,1408890.4,20260422,41.876666666666665,41.6,42.15333333333333,42.15333333333333,41.6,0.5533333333333275,1.3041087281011725,Wide,Bullish,Above CPR,Cash Only,Diversified,False,False,0.7297297297297297,37,127590.4,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
UNIMECH,EQ,UNIMECH AEROSPACE N MFG L,948.0,1016.0,941.75,998.3,161396,159240010.25,20260422,985.35,978.875,991.825,991.825,978.875,12.950000000000044,1.297205248923174,Wide,Bullish,Above CPR,Cash Only,Diversified,False,False,0.8166666666666667,60,60494711.85,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
COMPUSOFT,EQ,COMPUCOM SOFTWARE LTD,14.28,14.42,13.41,13.65,82753,1143135.49,20260422,13.826666666666666,13.915,13.738333333333332,13.915,13.738333333333332,0.1766666666666658,1.2942612942612883,Wide,Bearish,Below CPR,Cash Only,Information Technology,False,True,0.8333333333333334,60,501980.795,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Unavailable,Wide CPR + close below CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
ESABINDIA,EQ,ESAB INDIA LTD,5840.0,5998.0,5724.1,5977.0,5341,31425131.3,20260422,5899.7,5861.05,5938.349999999999,5938.349999999999,5861.05,77.29999999999927,1.2932909486364277,Wide,Bullish,Above CPR,Cash Only,Diversified,False,False,0.95,60,12310695.5,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
FLEXITUFF,EQ,FLEXITUFF VENTURES INT L,6.96,7.03,6.62,6.96,17690,122871.01,20260422,6.87,6.825,6.915,6.915,6.825,0.0899999999999998,1.29310344827586,Wide,Bullish,Above CPR,Cash Only,Diversified,False,False,0.6,60,174306.91,Overlapping,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
KHAITANLTD,EQ,KHAITAN (INDIA)LTD.,127.4,128.9,122.0,123.07,14451,1798044.61,20260422,124.65666666666668,125.45,123.86333333333336,125.45,123.86333333333336,1.586666666666645,1.2892391863708823,Wide,Bearish,Below CPR,Cash Only,Diversified,False,True,0.7333333333333333,60,183601.515,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Unavailable,Wide CPR + close below CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
STARPAPER,EQ,STAR PAPER MILLS LTD,141.0,148.09,141.0,147.39,16382,2383027.99,20260422,145.49333333333334,144.54500000000002,146.44166666666666,146.44166666666666,144.54500000000002,1.896666666666647,1.2868353800574308,Wide,Bullish,Above CPR,Cash Only,Paper & Packaging,False,False,0.9333333333333332,60,1894041.72,Overlapping,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
AARTISURF,EQ,AARTI SURFACTANTS LIMITED,397.65,402.0,382.5,399.95,10541,4138265.85,20260422,394.81666666666666,392.25,397.3833333333333,397.3833333333333,392.25,5.133333333333326,1.2834937700545883,Wide,Bullish,Above CPR,Cash Only,Diversified,False,False,0.8666666666666667,60,4480988.725,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
ABANSENT,EQ,ABANS ENTERPRISES LTD.,28.0,28.0,25.0,26.0,3183,83540.75,20260422,26.33333333333333,26.5,26.166666666666664,26.5,26.166666666666664,0.3333333333333357,1.2820512820512913,Wide,Bearish,Below CPR,Cash Only,Diversified,False,True,0.6666666666666666,3,73979.35,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Unavailable,Wide CPR + close below CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
AEQUS,EQ,AEQUS LIMITED,190.98,197.5,187.85,189.04,2753220,528685418.32,20260422,191.4633333333333,192.675,190.2516666666667,192.675,190.2516666666667,2.423333333333346,1.281915643955431,Wide,Bearish,Below CPR,Cash Only,Diversified,False,True,0.8166666666666667,60,114258251.975,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Unavailable,Wide CPR + close below CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
KCPSUGIND,EQ,KCP SUGAR IND CORP LTD.,26.3,27.4,25.7,27.07,212030,5630540.55,20260422,26.72333333333333,26.55,26.89666666666666,26.89666666666666,26.55,0.346666666666664,1.2806304642285335,Wide,Bullish,Above CPR,Cash Only,Diversified,False,False,0.9333333333333332,60,3723665.85,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
VOLTAMP,EQ,VOLTAMP TRANSFORMERS LTD,10589.0,11168.0,10510.0,11051.0,127182,1387071384.0,20260422,10909.666666666666,10839.0,10980.333333333332,10980.333333333332,10839.0,141.33333333333212,1.278918951527754,Wide,Bullish,Above CPR,Cash Only,Diversified,False,False,0.9333333333333332,60,306340276.25,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
HITECHCORP,EQ,HITECH CORPORATION LTD,142.0,145.0,137.13,143.82,10724,1519692.62,20260422,141.98333333333332,141.065,142.90166666666664,142.90166666666664,141.065,1.836666666666645,1.2770592870717876,Wide,Bullish,Above CPR,Cash Only,Information Technology,False,False,0.7833333333333333,60,1101493.69,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
NKIND,EQ,NK INDUSTRIES LTD,68.0,69.0,66.2,66.33,3557,236012.99,20260422,67.17666666666666,67.6,66.75333333333333,67.6,66.75333333333333,0.846666666666664,1.2764460525654515,Wide,Bearish,Below CPR,Cash Only,Diversified,False,True,0.4166666666666667,60,41259.1,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Unavailable,Wide CPR + close below CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
MODIS,EQ,MODIS NAVNIRMAN LTD,354.8,375.85,352.0,357.1,45068,16453073.9,20260422,361.65,363.925,359.37500000000006,363.925,359.37500000000006,4.5499999999999545,1.274152898347789,Wide,Bearish,Below CPR,Cash Only,Diversified,False,True,0.9,60,2947568.25,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Unavailable,Wide CPR + close below CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
