SYMBOL,SERIES,NAME,OPEN,HIGH,LOW,CLOSE,VOLUME,VALUE,session,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Segment,Industry,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,Own_Narrow,Setup,Nifty500,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,JCurve_Stage,JCurve_Score,JCurve_Explanation
NDL,EQ,NANDAN DENIM LIMITED,2.85,2.85,2.8,2.82,1139690,3216094.79,20260219,2.8233333333333337,2.825,2.821666666666667,2.825,2.821666666666667,0.0033333333333329,0.1182033096926583,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,True,0.1666666666666666,60,4380190.984999999,Lower,True,Short,False,Short,70,Confirmed,CPR width: Narrow (20/20); Price location: Below CPR (20/20); Trend: unavailable (10/20); Participation: unavailable (10/20); Higher timeframe: unavailable (10/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
SUNDARMFIN,EQ,SUNDARAM FINANCE LTD,5190.0,5230.0,5138.0,5175.0,52743,273552430.5,20260219,5181.0,5184.0,5178.0,5184.0,5178.0,6.0,0.1159420289855072,Narrow,Bearish,Below CPR,Cash Only,Financial Services,False,True,0.1666666666666666,60,270375115.25,Lower,True,Short,True,Short,70,Confirmed,CPR width: Narrow (20/20); Price location: Below CPR (20/20); Trend: unavailable (10/20); Participation: unavailable (10/20); Higher timeframe: unavailable (10/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
IGIL,EQ,INTERNATIO GEMM INS (I) L,330.35,336.7,327.55,331.55,652866,217348861.05,20260219,331.93333333333334,332.125,331.7416666666667,332.125,331.7416666666667,0.3833333333333257,0.115618559292211,Narrow,Bearish,Below CPR,Cash Only,Services,False,True,0.2,60,150449061.3,Inside,True,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
DONEAR,EQ,DONEAR IND. LIMITED,93.14,94.29,91.87,92.92,30366,2816745.87,20260219,93.02666666666669,93.08,92.97333333333336,93.08,92.97333333333336,0.1066666666666549,0.1147940881044499,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,True,0.1,60,2592029.07,Lower,True,Short,False,Short,70,Confirmed,CPR width: Narrow (20/20); Price location: Below CPR (20/20); Trend: unavailable (10/20); Participation: unavailable (10/20); Higher timeframe: unavailable (10/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
CAPITALSFB,EQ,CAPITAL SMALL FIN BANK L,264.5,264.5,263.0,263.3,10159,2675720.8,20260219,263.6,263.75,263.44999999999993,263.75,263.44999999999993,0.3000000000000682,0.1139384732244847,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,True,0.2,60,5433438.75,Lower,True,Short,False,Short,70,Confirmed,CPR width: Narrow (20/20); Price location: Below CPR (20/20); Trend: unavailable (10/20); Participation: unavailable (10/20); Higher timeframe: unavailable (10/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
ABBOTINDIA,EQ,ABBOTT INDIA LIMITED,26530.0,26545.0,26335.0,26395.0,4981,131579785.0,20260219,26425.0,26440.0,26410.0,26440.0,26410.0,30.0,0.1136578897518469,Narrow,Bearish,Below CPR,Cash Only,Healthcare,False,True,0.2,60,168264730.0,Lower,True,Short,True,Short,70,Confirmed,CPR width: Narrow (20/20); Price location: Below CPR (20/20); Trend: unavailable (10/20); Participation: unavailable (10/20); Higher timeframe: unavailable (10/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
TNTELE,EQ,TAMILNADU TELECOMMUNICATI,8.5,9.29,8.5,8.88,9985,88477.77,20260219,8.89,8.895,8.885000000000002,8.895,8.885000000000002,0.009999999999998,0.1126126126125901,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,True,0.1166666666666666,60,216329.05,Higher,True,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
PITTIENG,EQ,PITTI ENGINEERING LIMITED,900.1,928.75,885.5,905.6,54032,49041497.0,20260219,906.6166666666668,907.125,906.1083333333332,907.125,906.1083333333332,1.0166666666666515,0.112264428739692,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,True,0.1666666666666666,60,28509779.875,Higher,True,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
EVEREADY,EQ,EVEREADY INDS. IND.  LTD.,332.6,332.6,327.0,329.25,38499,12690132.9,20260219,329.6166666666667,329.8,329.43333333333334,329.8,329.43333333333334,0.3666666666666742,0.1113642115920043,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,True,0.1833333333333333,60,18448593.075000003,Overlapping,True,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
ARIS,EQ,ARISINFRA SOLUTIONS LTD,116.0,116.49,113.11,114.61,709832,81549490.39,20260219,114.73666666666666,114.8,114.67333333333332,114.8,114.67333333333332,0.1266666666666651,0.1105197335892724,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,True,0.1111111111111111,9,190933076.38,Inside,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
